RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
102001,0,United States,country,,14258.38843771496,14548.231421703416,14731.538152061614,14680.214002326999,14304.939250002824,13787.059277206039,13520.828767154695,13440.920381896989,13285.319782819397,12904.493284444174,12932.905022957044,13229.887644546712,13789.797767230879,14120.577037015959,14470.96093828252,14549.80480011965,14309.375776738438,13857.37492291875,13625.930675004764,13349.26263788464,13064.322912715523,12475.815979570072,12664.538889752846,13786.680509032987,14661.999717807666,14448.713233099217,13830.782198993396,13953.149617437564,14974.560447349795,15781.289818574272,16477.981072674836,16718.611289442826,16556.311822279218,16300.977596884179,16874.88228189213,18122.30371938785,19874.386534069305,21577.964655697317,23095.963097557218,23658.395340442206,22934.247532856825,21551.611888868967,20403.45240623081,19626.581046017815,18999.534148212868,18166.00412262669,18479.70642363249,20203.78213774732,22926.19682392187,24719.016521728452,25724.90546310841,25788.77910743022,24906.33698948793,23122.697303821322,21405.219152233683,20606.910656524153,19931.508116131594,19023.76417743345,18723.05560546428,19051.13570301177,20233.057792083328,21111.071414419315,22082.7545892998,22417.787321120155,22306.17287501914,21537.899571261823,20818.236304498336,20129.987621046897,19257.782267544204,18298.915123578485,17893.240274046184,18266.37932740924,19125.6117647171,19809.724974631084,20379.662687841777,20632.687452018992
394913,1,"New York, NY",msa,NY,33889.42290346751,33891.62753948749,33509.99652942134,31792.287983396163,30313.65562341432,28481.744032363156,28534.09295435833,28668.78020723614,28870.29337645514,27877.448299491618,28171.283677940748,28570.009161564074,29411.482978893688,29695.964765995213,29912.890946149215,29512.79027443549,28157.55987361121,26788.86706231673,27077.754360383497,27310.124569229756,27711.63935089033,26980.512959099196,27367.609942515275,28484.73323316065,29108.963069417296,28320.50477053909,27924.400594575138,27684.706918691067,29476.257075479396,30835.586220645095,33448.64486977554,34474.25324133313,35359.28590800304,34711.421422041785,35719.53063803999,37288.15190533264,40035.96167688976,42227.92348325311,42864.47305793437,41953.212879006016,39684.782875811965,37444.3704381969,36964.4276732429,36230.72644420917,35736.182356031146,33564.10138397586,34114.091549693134,43072.39535490243,53098.446946055315,54821.66678102365,49261.08867335913,43392.219475464575,42235.84039102772,39368.997624893025,37542.214792253624,37243.29115096078,37312.82733510518,35904.33185361413,35868.578796248534,36520.16952063406,40368.05992949142,43130.786620736915,47297.93952135472,48511.07329410746,48874.44361983619,47844.675209178204,47945.24408745321,48513.18215880832,47470.616394849036,44805.34692924002,43865.02417435264,45923.79153214971,49727.6983081559,52436.87723145374,55244.34453180535,55089.24375169879
753899,2,"Los Angeles, CA",msa,CA,48474.7708194464,47179.900108289505,47060.825119175664,45826.82743193565,42890.88295152564,39066.16588275301,37666.61861911999,37632.153090289175,39092.12662115455,37798.38990363601,38610.932488162085,38802.381088990805,40870.51831940591,41522.378580439145,42793.111302267724,43538.606691631285,43340.90018140373,42456.88492590854,42987.14378305871,42929.572992692694,45117.93960884665,43639.294546735364,47602.2913613433,54208.1075875568,58943.231927839304,55375.174606793524,47112.832787553714,46423.76335547276,51056.098656642636,58287.91550206929,60924.15476933188,60522.37443036193,58543.618815830065,58861.90353240116,64527.97596102755,70196.29009264383,77003.06307356659,79910.17677274098,80437.70797801753,78882.19339738898,73802.64214771705,68083.42925431377,61921.90955556545,60940.50002562255,61208.631936542595,60678.75532181514,67138.09003533302,75109.82480070114,81072.23709563272,77403.53459779073,71026.30360827375,66188.20551228609,59141.19501627923,54113.981597859085,50742.977710343024,50821.98378217986,51264.33541445003,49882.35531809365,51921.80352553658,56274.283971826146,62657.202859201825,68353.19641202745,73824.95887093307,78078.73375474272,80182.6715549463,76329.15488382873,74264.74400236805,71333.36197780549,68732.6817949948,64968.99280988367,65292.645827412685,67807.85399150515,70354.69954571502,72557.08596381552,74556.02438290644,75809.88579657173
394463,3,"Chicago, IL",msa,IL,12586.378001978796,13341.817778228986,13645.754670346227,13612.329849143533,12981.662975822865,12095.269009156496,11660.396987985887,11151.676130319387,10750.423751634287,10006.24922529307,10325.87119726056,11048.200232043615,12032.948152873907,12571.454743283904,12955.478162886604,13106.616216042485,12675.20655789221,11907.218159247093,11471.880476202481,11091.851894100691,10633.486872691361,9735.990637050143,9847.551949196231,10998.090644250484,11931.315535430484,11796.869795545748,11234.461475056843,11471.970330154692,12405.698720168853,13086.125487231133,13432.839823439639,13256.453842142715,12665.002646776724,12036.40408333957,12311.035823881923,13696.110731809858,15929.425189330359,17555.77020125033,18501.051737542748,18126.706168151286,16862.920199159405,15316.24045227228,14129.705086540403,13537.166074318984,12830.066117034266,11941.107008984376,11727.2765978622,12506.297513241769,14614.63296071685,16297.463106215278,17708.68512430553,17629.105846321443,16983.63267245775,15493.1058167472,14555.728440684681,13959.461584311337,13445.878863219092,12492.430117600357,12308.915509975932,12920.045570027767,14297.590540099392,15860.355431956059,17401.129165173235,18318.108103784918,18284.824791986965,17827.080388373488,17183.639340114223,16130.248884277426,14674.467334801797,12959.140664094813,12498.420521089007,13297.87954371472,15204.454835789786,16921.014229735654,18101.28324970348,18615.068567950417
394514,4,"Dallas, TX",msa,TX,12558.33358605148,12749.544199409092,12923.201496359892,12375.155534189593,11581.054182173664,10660.572178107153,10223.873707457304,10149.817584501681,10198.606161877055,9913.015596299208,9927.277241560285,10248.838089790961,10808.579154584126,11133.161672519724,11275.987311238976,11136.756586983609,10704.8567560393,10173.920063251311,10016.243472120792,9863.937916852892,9752.869433369897,9278.686749697858,9196.958953873145,9754.573880504468,10448.927652902406,10414.483605678795,10144.89541570338,10334.755736639747,11054.17758078783,11495.32558862736,11824.161939223786,12386.274218685969,12885.934424442748,13022.782173110501,13568.794875500464,14481.323657422772,16070.94899054132,17600.54829113738,19443.959228733802,20415.38982551921,19561.22560156452,18321.429977692078,17192.10101821471,17067.78918035521,16983.617141862807,16889.929989792898,17573.45459471641,19627.543988248784,21069.33485229098,22492.643973188042,22616.47317690994,23107.416585440016,21810.477683143214,19738.487887093044,17515.47925184677,16482.760514065234,15767.64609653632,15066.951734134798,14736.05133787659,14228.822237855326,14950.084635109723,15632.471344472282,16911.042597130578,17052.849910210003,16857.66678896164,16064.685997382827,15713.242321978318,15420.168006756538,15319.501782854597,14995.267574717422,14559.877285620983,14286.145432217343,14197.344186199842,14691.707622043565,15176.945502350734,15986.619207058664
394692,5,"Houston, TX",msa,TX,14379.44953862977,14302.026026860187,14302.699304673244,13966.521942757421,13156.385884081401,12494.493680705631,12500.951622881947,12748.971966576006,12973.347138604995,12579.766037606429,12795.13475214151,12889.629159769625,13176.848011780292,13192.420695046763,13341.698427397003,13192.515574533585,12538.514380642917,11806.072301271044,11588.275475508519,11451.83007399404,11506.628960666441,11192.294662823837,11218.638641490905,12059.672837551521,12805.556883552255,13271.036399070601,12889.137951952382,12810.083797042776,12854.44990764685,12926.527214765993,13114.471428852967,13429.210718654629,13514.071510456235,13714.200424577068,14263.856682503741,15071.35147973513,16313.190019022333,17586.834437183843,19362.26779474989,20347.46336216891,19822.98467168502,18623.365625481198,17738.683142487007,17654.131939979936,17673.614293575807,17107.810142253704,17638.67890551218,18387.29612963594,19361.31938661457,20027.109805271622,20783.78779383921,20995.895154909635,19672.728648208908,17766.308539784637,16094.73558243543,15346.633802806255,15229.119337004277,15228.40113782532,15394.086533838172,15435.959747293666,16013.024542432888,16651.89513747436,17197.01970296412,17121.58226568496,16738.541760411772,16076.02117745186,15646.280699837538,15251.89688040236,15028.630788623968,14803.871942823911,14708.775249630948,14757.699147663114,14846.490642281344,15242.350734460533,15280.86824278505,15365.588227483846
395209,6,"Washington, DC",msa,VA,17504.49675656216,17703.048867227484,17755.58303695871,17767.38628109501,17055.738579351982,15834.596837194302,15552.588707971887,15570.826764201885,16087.807616790009,15988.417927648741,16090.571700564033,16424.10479605498,17033.70112771419,17762.888239379452,18329.499469848288,18281.246898282876,17616.770588796673,16490.944937744465,16337.226538586314,16862.350041231814,17149.501320846048,16524.824689269644,16975.753533393057,19395.887735649852,20882.176094240753,20199.75350762874,18671.515658899847,19452.759268905218,21676.102023727468,23054.052418594965,22655.33039441261,20696.403200581335,18919.46315313818,18029.292968879086,19996.41841704337,21966.08905201317,23115.689037413,24181.099948391042,25172.538997512787,25705.596909989923,23474.84465501188,20794.637939142223,19387.26327872661,18968.192934633673,19062.71604415887,18469.83957388093,19000.418279844584,19878.236228940576,22618.737873649963,24288.72314359632,25885.417286593958,25407.77169819137,24051.414269648085,21911.589991893212,20493.89636678994,20089.330432581384,20230.152372075285,19516.01615309506,19808.134093457582,20981.405166068034,23494.90773778295,25527.21623196351,27507.858648900106,29117.138285446363,28498.790194005243,26866.71618977809,24813.633122838783,24641.13449693962,23857.599480248566,23311.067768009376,22987.277902475907,23765.995899455647,26300.905444779844,28247.079911753626,30441.433822227427,29892.68522473129
394974,7,"Philadelphia, PA",msa,PA,11118.112785222838,11351.299663298492,12241.588905284496,12758.432647366775,12987.389083082997,12142.567045748321,11972.618903389897,11917.02616326716,11856.69178376065,11176.261352123089,10923.4062886623,10932.344613062574,11348.311931856375,11937.934396162373,12782.71799904878,13019.413440935468,12663.296050118957,11960.651605183322,11943.604278559687,12018.141518019338,11859.73199187495,11058.754886877165,11047.474692827687,12217.908976633322,13054.89939674263,13162.49029476708,12248.776029155451,12627.44498871848,13536.740146791306,14431.562339506492,14800.83710131168,14453.604354130104,14232.7845118602,13946.247559091673,13944.936679236353,14378.002992516163,14743.569622123332,16217.30248425216,17347.540419610417,18088.22518171334,17233.70541990548,15846.455882384102,15269.723511653143,15051.783934661084,14994.057302823161,14226.966838386143,13962.8027850725,14156.703575065978,15172.447214895416,16212.642472064625,17848.624838149222,18037.496808092117,17898.994855197077,16377.14024150458,16136.780820436712,15801.719488204233,15817.18639950156,14863.623212273873,14257.653108615263,14135.6466861441,14921.341840694775,15651.684946523106,16280.261095337039,16836.18041320893,16935.894069445207,16840.164114234998,16481.348039389002,16502.137265686444,16139.847223424527,15300.16043223101,14816.742404416858,14749.020201968966,15630.550274397421,16332.885081878374,17859.654134079305,18575.46585704084
394856,8,"Miami, FL",msa,FL,27052.044176733038,26630.794831269155,26299.656704341338,25008.3806667329,23091.919550486575,21119.22329852177,19950.935550121972,19987.59256258035,20526.27058022264,21582.98355612509,22665.226780541194,23544.383643072728,23708.303120713823,23323.577305923973,22844.249436991417,22003.470178675907,21447.429458978935,20616.741660780735,20815.55332353644,20884.91304089068,21829.915405240303,22124.725650635446,24013.96437072786,26684.869032648294,28095.3885943495,25698.926752472547,23482.460165535686,22333.903486745385,23754.68318920342,24204.251161709803,25122.783975964496,25905.271354790308,26104.937618154567,25831.30017441774,27610.015299618117,27680.749017322185,30621.888688155712,30932.461902463237,34465.32406349168,35249.7104103191,35867.56203768981,34415.039066531965,33398.588609493345,32316.91951392521,33084.64320985744,32696.87855218544,35094.213224318875,40063.35019001635,47846.83380723865,52694.29904090194,55102.75873100004,54989.66062600657,51718.923023435775,45611.30741532143,40187.923980951855,38423.02721358611,37876.58248314598,38082.21541569586,39762.64852916254,42856.155939247525,45327.92273074741,47597.3323414459,48123.43206160836,47918.81040214103,45835.31487693721,43634.66138748888,41408.30431801678,39972.134564388136,39000.27881358494,39725.120140634295,40366.37721454145,41671.606485988355,41971.74593886439,42182.059044326175,41577.03200103162,39775.479997026465
394347,9,"Atlanta, GA",msa,GA,13289.420030536237,13702.656586228877,13681.510820510719,13373.666017916374,12625.97734795425,11792.774014723525,11160.898224912004,10945.453227697823,10483.233022028633,9873.27618906471,9709.68146322053,10131.45023086079,10703.823390605787,10983.115792587518,11191.556879170972,11254.229121569862,11086.492902151527,10633.454732380402,10276.767404062115,9924.072798774892,9510.974593018564,9040.830898164393,9198.119742096693,10307.266933446606,11443.251046075535,11489.820002405053,11263.816593212081,11326.187078185045,12395.003493568687,13033.790563240875,13593.14915782244,13865.42605099403,14139.952585416506,14162.519572692183,15433.670107036489,16555.146992044498,19113.665822950938,20062.587172290034,21695.5656347178,21893.150241636995,21478.273800914427,20691.042985335338,19540.576884518785,19353.536165685426,18692.59469194157,17993.826552447015,17574.902624588376,17818.62142892784,18976.40877065063,19243.25867475539,20076.349162450704,20004.353142333974,19497.839825622552,17821.72339958433,16312.980174330223,15652.57261393527,15148.140253529053,14437.878971734863,14193.985451682447,14313.412298249956,15082.291203118313,16258.40762476047,17011.776836576588,18015.491417195826,17706.00503510959,17162.78066570741,16311.07380692302,15960.726977905104,15634.26544279431,15224.39855516325,14828.39893997256,14613.613549681751,14898.870830921465,15034.772253340738,15473.844607703753,15497.86252861178
