RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31
102001,0,United States,country,,584440.3243496459,544676.6077250725,519651.5256117338,507532.1158689672,497675.5510046885,530440.6112429246,488302.97776886437,478488.58939184947,462014.9764193472,435274.7771545884,445965.1199751347,471256.43618677044,433553.06072306784,452121.83334040863,466208.6960769581,479000.52291527315,501052.224333246,516719.6617647059,558347.0418856196,557630.0172815041,582228.5627395412,582870.1694340796,612601.0816082065,596036.5321276595,552843.9150934996,549741.1882441471,558822.0462716763,551895.8261892132,535613.668400703,537208.0999502797,551771.5353793103,574916.1703323558,539866.4919395467,539767.5790285995,567349.3321829521,636004.1706410836,597360.4957446808,617753.2270104798,644697.2389465984,655442.8142208877,708765.9667410072,638757.7763457627,644404.4466705202,639304.1747389721,683016.9251546861,674969.8659547511,697592.3393131313,788898.283219529,684941.4703174604,734311.1206134604,734640.6509379651,746344.1100980393,691255.4468462343,682355.9715206185,672423.5248421717,666617.1094970986,686939.4946356275,679451.6918045649,726465.3619008876,655758.6325835037,741260.5645583423,746282.8258431794,723614.2407465901,756649.2284144427,763390.7614809689,764258.1287196765,737939.6750788643,765188.1109864459,780427.0187960123,819920.6634865568,822073.3330881017,872952.4147048459,777298.071964018,808204.7209847596,803600.6529598506,809113.3027885503,825841.9340346535
394913,1,"New York, NY",msa,NY,978599.7605633803,999846.25,874465.8993710692,984794.7012987013,1042994.3165829146,1130158.7604166667,1146684.9171974522,899591.7222222222,875020.1532258064,892886.7870967742,975673.7714285714,1015439.5413533835,872710.696,698104.45,802563.85,829401.3555555556,805194.2456886228,1012843.6923076923,875902.905511811,845686.224,771052.4222222222,748736.7583892618,978021.3440860215,799275.7669902913,641103.575,613463.3333333334,729495.1971830986,680102.2962962963,1065105.96875,954119.1282051282,744927.0263157894,876873.2647058824,655713.023255814,702191.6150234742,790348.6783625731,947384.6684210526,851044.7542372881,717962.4573170731,850598.9753694581,926290.2395833334,1101222.3258426967,1119604.4210526317,966431.2342857143,984268.6315789474,1095536.7086614172,1047415.675862069,962190.3119266055,883094.2216216216,784854.2176870748,838895.537815126,1007294.18,948260.3833333333,1057836.8909090909,1086442.905882353,876602.8181818182,964415.0,902529.3522727273,888368.6770833334,1099025.0,896389.8595041322,764245.8709677419,1013873.7894736842,1072203.9595959596,1214202.1384615384,1146963.1842105263,993108.7142857143,873457.9277108434,881908.8131868131,1010056.4431818182,920013.2954545454,928133.04,879144.8450704225,796980.5370370371,934539.0476190476,979056.25,946711.25,1069566.4736842106
394404,10,"Boston, MA",msa,MA,668768.578313253,703438.8152727273,726411.8543689321,742453.6363636364,638124.7360638297,563301.4152892563,707662.9203539822,732480.3152173914,750992.0147058824,786895.3595505618,783304.0350877193,800880.8492753623,712028.8441558442,642043.5176470588,688820.2432432432,666418.5714285715,918225.6653424657,741028.9910714285,833789.1162790698,734161.9615384615,734867.6987179487,774275.0722891566,644259.64,670861.9652173913,679396.4389010989,851890.1293103448,705255.0,766947.1434108528,587006.0769230769,639044.5563380282,779379.4943820224,725789.6725146199,690205.7604166666,652248.4033149171,777372.6871165644,723374.8119266055,787403.1732283465,778532.5576923077,753453.3793103448,774286.1802409638,797735.339390681,790553.7873015873,774115.2431372548,771086.8369863014,844023.3734074074,925067.4329268293,824599.2428571428,958606.7052238806,852525.6297468354,925084.8043065693,844658.5463783783,978304.0847867299,934888.9659090909,837899.1522633745,835007.226744186,929159.8707865168,874314.5086206896,888427.8561151079,930300.3181395348,846476.7933884298,842289.5571428571,845228.8941176471,809949.1627906977,951329.7355371901,1040435.561728395,994614.1897810219,1376253.4779874214,1146243.5161290322,1020081.4076433121,901001.5840707965,957213.3524590164,939270.0370370371,1070101.2297297297,921466.7735849057,1015481.6706586826,1078494.1913043477,951840.5962790698
395057,12,"San Francisco, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289372.2,1239264.9090909092,1187575.8536585367,1055059.7333333334,1268874.1515151516,981471.64,1011700.0,1082279.6,1006638.7619047619,1317483.857142857,937717.25,1368220.0909090908,1525920.2647058824,1314980.5897435897,1252393.4827586208,1412308.4285714286
394532,14,"Detroit, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442092.04347826086,507534.40625
395078,15,"Seattle, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769610.5555555555,803141.8333333334,739018.3023255814,861522.976744186,912358.1951219512,755524.3636363636,835573.5483870967,992536.25,1131790.5185185184,991557.32,788111.5,864139.8,1171497.607142857,1093104.3103448276,897691.1621621621,815256.1621621621
394998,25,"Portland, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385905.96428571426,357877.77777777775,364754.1379310345
394492,32,"Columbus, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467032.2727272727,475081.9583333333
395022,45,"Richmond, VA",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471746.09523809527,420299.75,456241.69696969696
394640,53,"Grand Rapids, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442026.5652173913,411872.037037037,456107.3611111111,439162.5
394997,105,"Portland, ME",msa,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558686.5
