RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31
102001,0,United States,country,,3118.0,3109.0,4207.0,4009.0,4489.0,4253.0,4003.0,4807.0,4274.0,4880.0,4837.0,4643.0,3427.0,3774.0,4404.0,3605.0,3826.0,3066.0,2430.0,1981.0,1495.0,1614.0,1522.0,1707.0,1132.0,1198.0,1386.0,1139.0,1144.0,1618.0,1892.0,2050.0,1990.0,2035.0,1933.0,2224.0,1603.0,1816.0,2737.0,3005.0,2786.0,2953.0,2597.0,2476.0,2200.0,2214.0,1985.0,2939.0,1703.0,1681.0,2020.0,1839.0,1913.0,1945.0,1586.0,1553.0,1485.0,1404.0,1358.0,1469.0,919.0,932.0,1396.0,1278.0,1449.0,1487.0,1269.0,1329.0,1305.0,1159.0,1107.0,1136.0,667.0,853.0,1071.0,1083.0,1214.0
394913,1,"New York, NY",msa,NY,142.0,128.0,163.0,157.0,199.0,195.0,162.0,127.0,125.0,155.0,141.0,135.0,126.0,100.0,120.0,136.0,167.0,143.0,127.0,125.0,90.0,149.0,93.0,103.0,80.0,78.0,71.0,54.0,64.0,79.0,114.0,170.0,173.0,213.0,171.0,191.0,118.0,165.0,203.0,195.0,178.0,209.0,176.0,173.0,127.0,147.0,109.0,185.0,147.0,119.0,151.0,181.0,165.0,172.0,132.0,97.0,88.0,97.0,128.0,121.0,63.0,76.0,99.0,65.0,77.0,99.0,83.0,91.0,88.0,89.0,75.0,71.0,54.0,63.0,60.0,72.0,95.0
753899,2,"Los Angeles, CA",msa,CA,138.0,186.0,242.0,198.0,197.0,205.0,190.0,214.0,149.0,119.0,140.0,114.0,86.0,98.0,177.0,122.0,126.0,139.0,116.0,93.0,79.0,48.0,52.0,90.0,38.0,34.0,46.0,38.0,32.0,47.0,63.0,38.0,53.0,38.0,97.0,84.0,29.0,56.0,50.0,55.0,44.0,31.0,29.0,16.0,35.0,31.0,53.0,74.0,42.0,32.0,32.0,24.0,30.0,22.0,28.0,19.0,19.0,16.0,22.0,18.0,21.0,28.0,24.0,21.0,34.0,29.0,18.0,18.0,14.0,11.0,20.0,16.0,10.0,7.0,14.0,17.0,23.0
394514,4,"Dallas, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,20.0,15.0,14.0,12.0,9.0,12.0,9.0,7.0,6.0,5.0,5.0,7.0,11.0,9.0,16.0
395209,6,"Washington, DC",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,16.0,19.0,26.0,31.0,50.0,27.0,45.0,40.0,27.0,28.0,16.0,27.0,27.0,31.0,20.0,23.0,29.0,27.0,28.0
394856,8,"Miami, FL",msa,FL,195.0,176.0,255.0,248.0,300.0,342.0,235.0,275.0,232.0,220.0,285.0,275.0,193.0,152.0,208.0,119.0,64.0,58.0,65.0,77.0,61.0,56.0,58.0,57.0,34.0,27.0,26.0,19.0,12.0,29.0,39.0,35.0,44.0,53.0,44.0,74.0,40.0,64.0,121.0,,,159.0,161.0,186.0,125.0,114.0,128.0,200.0,96.0,97.0,138.0,76.0,81.0,76.0,63.0,46.0,51.0,53.0,79.0,53.0,30.0,14.0,40.0,27.0,25.0,39.0,37.0,26.0,24.0,29.0,35.0,58.0,29.0,11.0,22.0,23.0,20.0
394347,9,"Atlanta, GA",msa,GA,29.0,58.0,73.0,75.0,81.0,86.0,124.0,155.0,114.0,71.0,82.0,113.0,48.0,44.0,38.0,28.0,35.0,28.0,36.0,29.0,16.0,21.0,9.0,16.0,9.0,10.0,24.0,22.0,25.0,40.0,23.0,22.0,17.0,15.0,27.0,25.0,41.0,45.0,54.0,31.0,35.0,16.0,13.0,23.0,21.0,46.0,35.0,31.0,14.0,18.0,20.0,31.0,23.0,26.0,21.0,19.0,22.0,12.0,17.0,18.0,16.0,10.0,12.0,20.0,20.0,19.0,21.0,11.0,35.0,11.0,20.0,10.0,12.0,14.0,10.0,18.0,12.0
394404,10,"Boston, MA",msa,MA,83.0,55.0,103.0,88.0,94.0,122.0,113.0,92.0,68.0,89.0,57.0,69.0,77.0,85.0,74.0,112.0,146.0,112.0,86.0,104.0,78.0,83.0,100.0,115.0,91.0,116.0,144.0,129.0,91.0,142.0,178.0,171.0,192.0,181.0,163.0,218.0,127.0,156.0,262.0,332.0,279.0,315.0,256.0,292.0,270.0,164.0,175.0,268.0,158.0,137.0,185.0,211.0,176.0,243.0,172.0,178.0,116.0,139.0,129.0,121.0,140.0,85.0,129.0,121.0,162.0,138.0,160.0,125.0,158.0,114.0,123.0,135.0,74.0,106.0,167.0,115.0,129.0
395057,12,"San Francisco, CA",msa,CA,39.0,17.0,44.0,32.0,51.0,58.0,64.0,45.0,17.0,22.0,21.0,36.0,9.0,10.0,15.0,15.0,28.0,24.0,24.0,23.0,15.0,24.0,18.0,21.0,9.0,14.0,11.0,15.0,5.0,14.0,22.0,17.0,21.0,22.0,35.0,31.0,35.0,37.0,79.0,74.0,,66.0,62.0,58.0,56.0,63.0,50.0,127.0,25.0,74.0,63.0,55.0,48.0,35.0,26.0,44.0,34.0,34.0,46.0,54.0,18.0,30.0,55.0,41.0,30.0,33.0,25.0,33.0,30.0,21.0,28.0,24.0,22.0,34.0,39.0,29.0,35.0
394532,14,"Detroit, MI",msa,MI,170.0,162.0,182.0,151.0,162.0,151.0,166.0,198.0,141.0,166.0,161.0,129.0,111.0,90.0,108.0,101.0,111.0,41.0,43.0,62.0,75.0,63.0,45.0,46.0,28.0,29.0,26.0,7.0,17.0,29.0,26.0,41.0,55.0,48.0,38.0,54.0,55.0,47.0,85.0,,81.0,112.0,71.0,64.0,77.0,85.0,65.0,116.0,96.0,72.0,77.0,87.0,66.0,109.0,95.0,107.0,66.0,77.0,52.0,65.0,19.0,23.0,44.0,45.0,41.0,52.0,43.0,44.0,25.0,27.0,25.0,27.0,21.0,26.0,17.0,23.0,32.0
